iter	Passed	Remaining
0	3	3711
1	5	2621
2	5	1832
3	5	1424
4	5	1191
5	6	1024
6	6	904
7	6	840
8	7	773
9	7	714
10	7	667
11	7	633
12	7	599
13	8	570
14	8	545
15	8	523
16	8	504
17	8	486
18	9	470
19	9	458
20	9	449
21	9	437
22	10	428
23	10	421
24	10	412
25	10	407
26	11	399
27	11	392
28	11	385
29	12	391
30	12	390
31	12	385
32	13	383
33	13	386
34	14	386
35	14	383
36	15	407
37	15	402
38	16	398
39	16	397
40	16	393
41	17	388
42	17	383
43	17	378
44	17	374
45	17	369
46	18	365
47	18	361
48	18	357
49	18	353
50	18	350
51	19	346
52	19	343
53	19	340
54	19	337
55	19	334
56	20	331
57	20	328
58	20	326
59	20	324
60	20	322
61	21	321
62	21	319
63	21	318
64	21	316
65	22	313
66	22	311
67	22	309
68	22	307
69	22	305
70	23	303
71	23	301
72	23	299
73	23	297
74	24	296
75	24	294
76	24	292
77	24	290
78	24	289
79	25	287
80	25	286
81	26	293
82	26	291
83	26	291
84	27	290
85	27	289
86	27	288
87	27	287
88	27	286
89	28	285
90	28	284
91	28	283
92	29	283
93	29	284
94	29	283
95	30	283
96	30	281
97	30	280
98	30	280
99	32	289
100	32	290
101	32	290
102	33	289
103	33	289
104	33	288
105	34	288
106	34	287
107	34	286
108	34	285
109	35	284
110	35	282
111	35	281
112	35	280
113	35	279
114	36	277
115	36	276
116	36	274
117	36	273
118	36	272
119	38	280
120	38	279
121	38	277
122	38	277
123	39	276
124	39	275
125	39	273
126	39	272
127	39	271
128	40	270
129	40	270
130	40	269
131	40	268
132	40	267
133	41	266
134	41	265
135	41	264
136	41	264
137	42	263
138	42	262
139	42	261
140	42	260
141	42	259
142	43	259
143	43	258
144	43	258
145	43	257
146	44	256
147	44	256
148	44	256
149	45	256
150	45	255
151	45	254
152	45	253
153	46	253
154	46	252
155	46	253
156	47	252
157	47	252
158	47	251
159	47	251
160	47	250
161	48	249
162	48	248
163	48	247
164	48	247
165	49	247
166	49	246
167	49	246
168	50	245
169	50	245
170	50	245
171	50	244
172	51	244
173	51	243
174	51	243
175	51	242
176	51	241
177	52	241
178	52	241
179	52	240
180	53	239
181	53	239
182	53	238
183	53	238
184	53	237
185	54	237
186	54	236
187	54	235
188	54	235
189	54	234
190	55	234
191	55	234
192	55	233
193	56	233
194	56	232
195	56	232
196	56	231
197	57	231
198	57	230
199	57	230
200	57	229
201	58	229
202	58	228
203	58	228
204	58	227
205	59	227
206	59	226
207	59	226
208	59	225
209	60	228
210	60	227
211	61	227
212	61	228
213	62	228
214	62	229
215	64	232
216	64	232
217	64	233
218	65	233
219	65	233
220	66	234
221	66	234
222	67	234
223	67	234
224	67	234
225	68	233
226	68	233
227	68	233
228	69	232
229	69	232
230	69	232
231	70	233
232	70	232
233	71	232
234	71	231
235	71	231
236	71	230
237	71	230
238	72	229
239	72	228
240	72	228
241	72	227
242	72	227
243	73	227
244	73	226
245	73	226
246	74	225
247	74	225
248	74	225
249	75	226
250	75	226
251	76	226
252	76	226
253	77	227
254	79	232
255	80	233
256	81	234
257	81	234
258	81	234
259	82	233
260	82	233
261	82	233
262	83	232
263	83	232
264	83	231
265	83	231
266	84	230
267	84	230
268	84	229
269	84	229
270	85	228
271	85	228
272	85	228
273	86	228
274	86	227
275	86	227
276	86	226
277	86	225
278	87	225
279	87	224
280	87	224
281	87	223
282	88	223
283	88	222
284	88	222
285	88	222
286	89	221
287	89	221
288	90	221
289	90	221
290	90	220
291	90	220
292	91	219
293	91	219
294	91	219
295	92	220
296	92	219
297	93	219
298	93	220
299	97	227
300	98	228
301	99	230
302	100	230
303	100	230
304	101	231
305	101	231
306	102	230
307	102	230
308	103	230
309	103	229
310	103	229
311	103	229
312	104	228
313	104	228
314	105	229
315	106	231
316	107	230
317	107	230
318	107	230
319	108	229
320	109	230
321	109	230
322	109	230
323	110	229
324	110	229
325	111	229
326	113	233
327	114	234
328	114	233
329	115	233
330	115	234
331	116	234
332	116	233
333	116	233
334	117	232
335	117	232
336	117	232
337	118	231
338	118	231
339	118	230
340	118	229
341	119	229
342	119	228
343	119	228
344	119	227
345	120	227
346	121	228
347	121	227
348	121	227
349	121	226
350	122	225
351	122	225
352	122	224
353	123	224
354	123	224
355	125	226
356	126	228
357	127	228
358	127	227
359	128	229
360	129	228
361	129	228
362	129	227
363	129	227
364	130	226
365	130	225
366	130	225
367	130	224
368	131	224
369	131	223
370	131	223
371	132	222
372	132	222
373	132	221
374	132	221
375	133	221
376	133	220
377	133	219
378	133	219
379	134	218
380	134	218
381	134	217
382	134	217
383	135	216
384	135	216
385	135	215
386	135	215
387	136	214
388	136	214
389	136	213
390	136	213
391	137	212
392	137	213
393	138	212
394	138	212
395	139	213
396	140	213
397	141	213
398	141	212
399	141	212
400	141	211
401	142	211
402	142	210
403	142	210
404	144	211
405	145	212
406	146	212
407	146	212
408	146	211
409	146	211
410	147	211
411	147	210
412	147	210
413	148	209
414	148	209
415	148	208
416	149	208
417	149	207
418	149	207
419	149	206
420	149	206
421	150	205
422	150	205
423	150	204
424	151	204
425	151	203
426	151	203
427	151	202
428	152	203
429	153	203
430	153	203
431	154	202
432	154	202
433	154	201
434	154	201
435	154	200
436	155	199
437	157	201
438	157	201
439	158	201
440	158	200
441	158	200
442	160	201
443	160	200
444	160	200
445	160	199
446	161	199
447	162	199
448	162	199
449	162	198
450	163	198
451	163	198
452	163	197
453	163	197
454	164	196
455	164	195
456	164	195
457	164	195
458	165	194
459	165	194
460	165	193
461	165	193
462	166	192
463	166	192
464	166	191
465	166	191
466	167	190
467	167	190
468	167	189
469	168	189
470	168	188
471	168	188
472	168	187
473	168	187
474	169	186
475	169	186
476	170	187
477	170	186
478	171	186
479	171	185
480	171	185
481	173	186
482	173	186
483	174	185
484	175	185
485	175	185
486	175	185
487	176	184
488	176	184
489	176	183
490	176	183
491	177	182
492	177	182
493	177	182
494	178	181
495	178	181
496	178	180
497	178	180
498	179	179
499	179	179
500	179	179
501	179	178
502	180	177
503	180	177
504	180	177
505	182	178
506	183	178
507	185	179
508	185	179
509	185	178
510	186	178
511	186	177
512	186	177
513	187	176
514	187	176
515	187	176
516	188	175
517	188	175
518	188	174
519	189	174
520	189	174
521	189	173
522	189	173
523	190	172
524	190	172
525	190	171
526	190	171
527	191	170
528	191	170
529	192	170
530	193	170
531	193	169
532	193	169
533	193	169
534	194	168
535	194	168
536	194	167
537	194	167
538	195	166
539	195	166
540	195	166
541	195	165
542	196	165
543	196	164
544	196	164
545	197	163
546	198	164
547	198	163
548	198	163
549	199	163
550	199	162
551	200	162
552	200	161
553	200	161
554	200	160
555	202	161
556	203	161
557	203	161
558	204	161
559	204	161
560	205	160
561	205	160
562	205	159
563	206	159
564	206	158
565	207	159
566	208	158
567	208	158
568	208	158
569	208	157
570	209	157
571	209	156
572	209	156
573	210	156
574	210	155
575	211	155
576	211	154
577	211	154
578	211	153
579	211	153
580	212	153
581	212	152
582	212	152
583	213	151
584	213	151
585	213	150
586	213	150
587	214	150
588	215	150
589	215	149
590	215	149
591	215	148
592	216	148
593	216	147
594	216	147
595	217	147
596	217	146
597	217	146
598	217	145
599	218	145
600	218	144
601	218	144
602	218	144
603	219	143
604	219	143
605	219	142
606	220	142
607	220	142
608	221	141
609	221	141
610	221	141
611	221	140
612	222	140
613	222	139
614	222	139
615	222	138
616	222	138
617	223	137
618	223	137
619	223	137
620	224	136
621	228	138
622	228	138
623	228	137
624	228	137
625	229	136
626	229	136
627	230	136
628	230	135
629	230	135
630	230	134
631	231	134
632	231	134
633	231	133
634	231	133
635	231	132
636	232	132
637	232	131
638	232	131
639	232	130
640	232	130
641	233	129
642	233	129
643	233	129
644	233	128
645	233	128
646	234	127
647	234	127
648	234	126
649	234	126
650	235	125
651	235	125
652	235	125
653	238	126
654	238	125
655	238	125
656	238	124
657	239	124
658	239	123
659	239	123
660	239	123
661	240	122
662	240	122
663	240	121
664	240	121
665	241	120
666	241	120
667	241	120
668	241	119
669	242	119
670	242	118
671	242	118
672	242	118
673	243	117
674	243	117
675	243	116
676	243	116
677	245	116
678	245	116
679	245	115
680	245	115
681	246	114
682	247	114
683	247	114
684	248	114
685	248	113
686	248	113
687	248	112
688	249	112
689	249	112
690	249	111
691	249	111
692	250	110
693	250	110
694	250	109
695	250	109
696	251	109
697	251	108
698	252	108
699	252	108
700	253	107
701	253	107
702	255	107
703	257	108
704	258	108
705	261	108
706	261	108
707	262	108
708	263	108
709	263	107
710	264	107
711	264	106
712	264	106
713	264	106
714	264	105
715	265	105
716	265	104
717	265	104
718	265	103
719	266	103
720	266	103
721	266	102
722	266	102
723	267	101
724	267	101
725	267	101
726	267	100
727	268	100
728	269	100
729	269	99
730	269	99
731	270	98
732	270	98
733	270	98
734	271	97
735	272	97
736	273	97
737	273	97
738	273	96
739	273	96
740	274	95
741	274	95
742	274	94
743	274	94
744	275	94
745	276	94
746	276	93
747	276	93
748	277	92
749	278	92
750	278	92
751	279	92
752	279	91
753	280	91
754	281	91
755	281	90
756	282	90
757	282	90
758	282	89
759	282	89
760	282	88
761	283	88
762	283	88
763	283	87
764	283	87
765	283	86
766	284	86
767	284	85
768	284	85
769	284	85
770	284	84
771	285	84
772	285	83
773	285	83
774	285	83
775	286	82
776	286	82
777	286	81
778	286	81
779	287	80
780	287	80
781	287	80
782	290	80
783	294	81
784	294	80
785	294	80
786	296	80
787	296	79
788	296	79
789	296	78
790	297	78
791	297	78
792	297	77
793	297	77
794	297	76
795	298	76
796	298	75
797	298	75
798	298	75
799	298	74
800	299	74
801	299	73
802	299	73
803	299	73
804	300	72
805	300	72
806	300	71
807	300	71
808	301	71
809	301	70
810	301	70
811	301	69
812	302	69
813	302	69
814	302	68
815	303	68
816	303	67
817	303	67
818	305	67
819	307	67
820	307	67
821	308	66
822	309	66
823	310	66
824	310	65
825	310	65
826	311	65
827	311	64
828	311	64
829	312	63
830	312	63
831	312	63
832	312	62
833	312	62
834	313	61
835	313	61
836	313	61
837	313	60
838	314	60
839	314	59
840	314	59
841	314	59
842	314	58
843	315	58
844	315	57
845	315	57
846	315	57
847	315	56
848	316	56
849	316	55
850	316	55
851	316	55
852	317	54
853	317	54
854	317	53
855	317	53
856	317	53
857	318	52
858	318	52
859	318	51
860	318	51
861	319	51
862	319	50
863	319	50
864	319	49
865	320	49
866	320	49
867	320	48
868	320	48
869	321	47
870	321	47
871	321	47
872	321	46
873	322	46
874	322	46
875	322	45
876	322	45
877	322	44
878	323	44
879	323	44
880	324	43
881	324	43
882	324	43
883	324	42
884	325	42
885	325	41
886	325	41
887	326	41
888	326	40
889	326	40
890	327	40
891	327	39
892	327	39
893	328	38
894	328	38
895	328	38
896	329	37
897	329	37
898	329	37
899	330	36
900	330	36
901	330	35
902	330	35
903	330	35
904	331	34
905	331	34
906	331	34
907	331	33
908	332	33
909	332	32
910	332	32
911	332	32
912	333	31
913	333	31
914	333	30
915	333	30
916	333	30
917	334	29
918	334	29
919	334	29
920	334	28
921	335	28
922	335	27
923	335	27
924	335	27
925	335	26
926	336	26
927	336	26
928	336	25
929	336	25
930	337	24
931	338	24
932	339	24
933	339	23
934	339	23
935	340	23
936	340	22
937	341	22
938	342	22
939	342	21
940	342	21
941	346	21
942	346	20
943	347	20
944	347	20
945	348	19
946	348	19
947	349	19
948	349	18
949	350	18
950	351	18
951	351	17
952	351	17
953	352	16
954	352	16
955	352	16
956	352	15
957	352	15
958	353	15
959	353	14
960	353	14
961	353	13
962	354	13
963	354	13
964	355	12
965	356	12
966	357	12
967	357	11
968	358	11
969	358	11
970	359	10
971	359	10
972	360	10
973	361	9
974	362	9
975	363	8
976	363	8
977	363	8
978	363	7
979	363	7
980	364	7
981	364	6
982	364	6
983	365	5
984	366	5
985	366	5
986	366	4
987	366	4
988	367	4
989	367	3
990	367	3
991	368	2
992	368	2
993	368	2
994	370	1
995	370	1
996	370	1
997	370	0
998	372	0
999	372	0
