iter	Passed	Remaining
0	60	60578
1	61	30443
2	61	20407
3	62	15445
4	62	12408
5	62	10422
6	63	8955
7	63	7878
8	64	7057
9	64	6397
10	65	5863
11	65	5401
12	65	5005
13	66	4670
14	66	4381
15	67	4126
16	68	3937
17	68	3726
18	68	3540
19	68	3372
20	69	3217
21	69	3080
22	69	2954
23	69	2837
24	70	2732
25	71	2672
26	71	2585
27	72	2501
28	72	2419
29	72	2342
30	72	2272
31	72	2207
32	73	2145
33	73	2088
34	73	2034
35	73	1981
36	75	1963
37	75	1920
38	76	1879
39	77	1852
40	77	1816
41	78	1780
42	78	1744
43	78	1709
44	79	1677
45	79	1645
46	80	1626
47	80	1598
48	80	1571
49	81	1544
50	81	1520
51	82	1496
52	82	1472
53	82	1448
54	83	1427
55	83	1404
56	83	1383
57	83	1361
58	84	1342
59	84	1323
60	84	1303
61	84	1285
62	85	1267
63	85	1251
64	85	1235
65	86	1224
66	86	1209
67	86	1191
68	87	1176
69	87	1161
70	87	1145
71	87	1131
72	87	1116
73	88	1102
74	88	1089
75	88	1075
76	88	1063
77	88	1050
78	89	1038
79	89	1026
80	89	1015
81	89	1003
82	89	992
83	89	981
84	90	969
85	90	959
86	90	948
87	90	938
88	90	929
89	90	919
90	91	910
91	91	902
92	91	893
93	91	886
94	92	879
95	92	872
96	92	864
97	93	856
98	93	848
99	93	840
100	93	833
101	93	824
102	93	817
103	94	810
104	94	803
105	94	796
106	94	790
107	94	783
108	95	776
109	95	770
110	95	763
111	95	757
112	95	751
113	95	745
114	96	739
115	96	733
116	96	729
117	96	724
118	97	718
119	97	715
120	97	711
121	98	706
122	98	701
123	98	697
124	98	692
125	99	688
126	99	683
127	99	678
128	99	674
129	100	670
130	100	667
131	100	663
132	101	659
133	101	654
134	101	650
135	101	646
136	102	643
137	102	639
138	102	635
139	102	632
140	103	629
141	103	626
142	103	622
143	104	618
144	104	615
145	104	612
146	104	608
147	105	605
148	105	601
149	105	598
150	105	595
151	106	592
152	106	588
153	106	585
154	106	582
155	107	579
156	107	576
157	107	572
158	107	569
159	107	566
160	108	563
161	108	560
162	108	557
163	108	554
164	109	551
165	109	548
166	109	546
167	109	543
168	109	540
169	110	537
170	110	534
171	110	531
172	110	529
173	110	526
174	111	523
175	111	521
176	111	518
177	111	515
178	112	513
179	112	511
180	112	508
181	112	507
182	113	505
183	113	502
184	113	500
185	113	497
186	113	495
187	114	493
188	114	490
189	114	488
190	114	485
191	114	483
192	115	481
193	115	478
194	115	476
195	115	474
196	115	472
197	116	470
198	116	468
199	116	466
200	116	464
201	117	463
202	117	461
203	118	461
204	118	460
205	118	458
206	119	456
207	119	454
208	119	453
209	120	451
210	120	450
211	120	448
212	120	447
213	121	445
214	121	444
215	121	442
216	122	440
217	122	439
218	122	437
219	123	437
220	123	435
221	124	434
222	124	432
223	124	431
224	124	430
225	125	428
226	125	427
227	125	425
228	126	424
229	126	423
230	126	421
231	126	420
232	127	418
233	127	417
234	127	416
235	128	415
236	129	415
237	129	415
238	130	415
239	131	415
240	131	414
241	131	412
242	132	411
243	132	410
244	132	409
245	133	408
246	133	406
247	134	406
248	134	405
249	134	403
250	134	402
251	135	401
252	135	399
253	135	398
254	136	397
255	136	396
256	136	395
257	136	393
258	137	392
259	137	391
260	137	390
261	138	389
262	138	388
263	138	387
264	139	385
265	139	384
266	139	383
267	140	383
268	140	381
269	140	380
270	141	379
271	141	378
272	141	377
273	141	375
274	142	374
275	142	373
276	142	372
277	143	371
278	143	370
279	143	369
280	144	368
281	144	367
282	144	367
283	145	366
284	145	365
285	145	364
286	146	363
287	146	362
288	146	361
289	147	360
290	147	359
291	147	358
292	148	357
293	148	356
294	148	355
295	149	354
296	149	353
297	150	353
298	150	352
299	150	352
300	151	351
301	151	350
302	151	349
303	152	350
304	153	349
305	153	348
306	153	347
307	154	346
308	154	344
309	154	343
310	154	343
311	155	342
312	155	342
313	156	340
314	156	340
315	156	339
316	156	338
317	157	337
